title,link,location,original_price,price,end_date
"Ticket to ""An American In Paris"" Musical",https://www.livingsocial.com/events/1648176-ticket-to-an-american-in-paris-musical,"Los Angeles, CA", 89,49,Mar 14 - Apr 06
"Ticket to ""Fun Home""",https://www.livingsocial.com/events/1639058-ticket-to-fun-home,"Los Angeles, CA", 70,55,use by Apr  1
Ticket to Absinthe LA at L.A. LIVE,https://www.livingsocial.com/events/1642514-ticket-to-absinthe-la-at-l-a-live,"Los Angeles, CA", 79,47,use by Apr  4
Ticket to LA Galaxy Soccer Game,https://www.livingsocial.com/events/1649120-ticket-to-la-galaxy-soccer-game,"Carson, CA", 50,24,Apr 07 - Apr 29
"Ticket to ""The Bodyguard"" Starring Deborah Cox",https://www.livingsocial.com/events/1648954-ticket-to-the-bodyguard-starring-deborah-cox,"Los Angeles, CA", 89,49,Mar 22 - May 11
Go Los Angeles Card,https://www.livingsocial.com/deals/1619588-go-los-angeles-card-go-los-angeles-card-at-30-attractions,Los Angeles Area, 105,94,
RealEstateU Online LLC,https://www.livingsocial.com/deals/1619064-online-california-real-estate-licensing-course,Los Angeles Area, 295,99,
3-Hour Downtown LA Food Tour,https://www.livingsocial.com/events/1628138-3-hour-downtown-la-food-tour,"Los Angeles, CA", 60,42,use by Jul 27
The Historic El Cid Dinner Theater,https://www.livingsocial.com/deals/1641556-5-course-meal-carafe-of-sangria-for-2,"Los Angeles, CA", 152,99,
Skydive Coastal California,https://www.livingsocial.com/deals/1621982-tandem-skydive,"Camarillo, CA", 299,149,
Horror Escapes LA,https://www.livingsocial.com/deals/1620606-admission-to-an-escape-room,"Los Angeles, CA", 72,38,
CK Plastic Surgery,https://www.livingsocial.com/deals/1642838-ipl-photofacial-laser-facial-treatment,"Los Angeles, CA", 400,149,
Johnson's Cleaning Service,https://www.livingsocial.com/deals/1614748-3-hours-of-house-cleaning,Los Angeles Area, 75,44,
Radical Cooks,https://www.livingsocial.com/deals/1633004-2-hour-cooking-classes-for-2-people,"Los Angeles, CA", 178,89,
Ticket to WAR and Los Lonely Boys Concert,https://www.livingsocial.com/events/1648798-ticket-to-war-and-los-lonely-boys-concert,"Los Angeles, CA",,34,use by May 27
