1,RealEstateU Online LLC,https://www.livingsocial.com/deals/1619064-online-california-real-estate-licensing-course,Los Angeles Area, 295,99,
2,Go Los Angeles Card,https://www.livingsocial.com/deals/1619588-go-los-angeles-card-go-los-angeles-card-at-30-attractions,Los Angeles Area, 105,94,
3,The Historic El Cid Dinner Theater,https://www.livingsocial.com/deals/1641556-5-course-meal-carafe-of-sangria-for-2,"Los Angeles, CA", 152,99,
4,Horror Escapes LA,https://www.livingsocial.com/deals/1620606-admission-to-an-escape-room,"Los Angeles, CA", 72,38,
5,Skydive Coastal California,https://www.livingsocial.com/deals/1621982-tandem-skydive,"Camarillo, CA", 299,149,
6,Radical Cooks,https://www.livingsocial.com/deals/1633004-2-hour-cooking-classes-for-2-people,"Los Angeles, CA", 178,89,
7,Johnson's Cleaning Service,https://www.livingsocial.com/deals/1614748-3-hours-of-house-cleaning,Los Angeles Area, 75,44,
8,Linda Kahle Studio,https://www.livingsocial.com/deals/1642340-luxury-boudoir-photography-and-self-love-session,Multiple Locations, 290,59,
9,CG Studios,https://www.livingsocial.com/deals/1625790-90-minute-boudoir-photo-shoot,"Los Angeles, CA", 579,100,
10,Dara Spa,https://www.livingsocial.com/deals/1620944-thai-swedish-aromatherapy-or-couple-s-massage,"Los Angeles, CA", 100,34,
11,Let's Paint,https://www.livingsocial.com/deals/1645176-let-s-paint-party-admission-for-1-2-or-4,"Los Angeles, CA", 45,19,
12,CK Plastic Surgery,https://www.livingsocial.com/deals/1642838-ipl-photofacial-laser-facial-treatment,"Los Angeles, CA", 400,149,
13,Hangar 18 Climbing Gyms,https://www.livingsocial.com/deals/1619152-intro-rock-climbing-package-for-two-or-gym-access,Multiple Locations, 60,30,
14,United Air Care Services,https://www.livingsocial.com/deals/1638916-whole-house-air-duct-cleaning-with-inspection,Los Angeles Area, 389,89,
15,Paniq Entertainment,https://www.livingsocial.com/deals/1627024-1-hour-insane-asylum-room-escape-game,"Los Angeles, CA", 189,99,
16,The Art Room LA,https://www.livingsocial.com/deals/1608368-2-5-hour-painting-party-with-wine-and-cheese,"Los Angeles, CA", 39,28,
17,LAKO Boxing Club & Training Studio,https://www.livingsocial.com/deals/1600826-unlimited-boxing-and-kickboxing-classes,"Los Angeles, CA", 99,29,
18,Melt That Fat Deals,https://www.livingsocial.com/deals/1631014-laser-like-body-rejuvenation,Multiple Locations, 175,39,
19,Sew FYI,https://www.livingsocial.com/deals/1620468-2-hour-sewing-machine-operations-workshop,"Los Angeles, CA", 60,29,
20,Cinema Wellness,https://www.livingsocial.com/deals/1637910-body-exfoliation-glow-scrub-in-los-angeles,"Los Angeles, CA", 125,65,
21,The Freelance,https://www.livingsocial.com/deals/1626340-51-off-ticket-to-10-hour-deep-sea-fishing-experience-with-optional-lunch,"Newport Beach, CA", 83,40,
22,SoCal Adventure Company,https://www.livingsocial.com/deals/1616774-61-off-canyoneering-or-climbing-adventure,Multiple Locations, 199,89,
23,The A List at Indo Salon,https://www.livingsocial.com/deals/1631180-haircut-deep-conditioning-and-balayage,"Valencia, CA", 100,49,
24,Creation Station Dance,https://www.livingsocial.com/deals/1613522-3-children-s-dance-classes,Multiple Locations, 100,39,
25,LA First Dates,https://www.livingsocial.com/deals/1608908-1-or-2-tickets-to-a-speed-dating-event,Los Angeles Area, 35,18,
26,AhhMUSE Photography,https://www.livingsocial.com/deals/1643292-headshot-portrait-session-for-1-person,"Los Angeles, CA", 600,99,
